timestamp,target_name,host,sample_index,rtt_ms
2026-01-03T21:10:17,google_dns,8.8.8.8,1,
2026-01-03T21:10:18,google_dns,8.8.8.8,2,
2026-01-03T21:10:18,google_dns,8.8.8.8,3,
2026-01-03T21:10:19,google_dns,8.8.8.8,4,
2026-01-03T21:10:19,google_dns,8.8.8.8,5,
2026-01-03T21:10:20,google_dns,8.8.8.8,6,
2026-01-03T21:10:20,google_dns,8.8.8.8,7,
2026-01-03T21:10:21,google_dns,8.8.8.8,8,
2026-01-03T21:10:21,google_dns,8.8.8.8,9,
2026-01-03T21:10:22,google_dns,8.8.8.8,10,
2026-01-03T21:10:22,google_dns,8.8.8.8,11,
2026-01-03T21:10:23,google_dns,8.8.8.8,12,
2026-01-03T21:10:23,cloudflare_dns,1.1.1.1,1,
2026-01-03T21:10:24,cloudflare_dns,1.1.1.1,2,
2026-01-03T21:10:24,cloudflare_dns,1.1.1.1,3,
2026-01-03T21:10:25,cloudflare_dns,1.1.1.1,4,
2026-01-03T21:10:25,cloudflare_dns,1.1.1.1,5,
2026-01-03T21:10:26,cloudflare_dns,1.1.1.1,6,
2026-01-03T21:10:26,cloudflare_dns,1.1.1.1,7,
2026-01-03T21:10:27,cloudflare_dns,1.1.1.1,8,
2026-01-03T21:10:27,cloudflare_dns,1.1.1.1,9,
2026-01-03T21:10:28,cloudflare_dns,1.1.1.1,10,
2026-01-03T21:10:28,cloudflare_dns,1.1.1.1,11,
2026-01-03T21:10:29,cloudflare_dns,1.1.1.1,12,
